Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Aspheric,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Mono ASF 1.50,12.97,13.97,16.97,18.97,18.97,18.97,17.97,x,22.97,,,,,,,,,,
Mono ASF 1.60,23.48,24.48,27.48,29.48,29.48,29.48,28.48,x,33.48,,,,,,,,,,
Mono ASF 1.67 ,28.07,29.07,32.07,34.07,34.07,34.07,33.07,x,38.07,,,,,,,,,,
Mono ASF 1.74,44.64,45.64,48.64,50.64,50.64,50.64,49.64,x,54.64,,,,,,,,,,
Okos + ,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Okos+ 1.50 ,7.98,8.98,11.98,13.98,13.98,13.98,12.98,x,17.98,,,,,,,,,,
Okos+ 1.53 ,14.96,15.96,18.96,20.96,20.96,x,x,x,24.96,,,,,,,,,,
Okos+ 1.56 ,9.82,10.82,13.82,15.82,15.82,x,x,x,19.82,,,,,,,,,,
Okos+ 1.59 ,16.29,17.29,20.29,22.29,22.29,x,x,x,26.29,,,,,,,,,,
Okos+ 1.60 ,17.54,18.54,21.54,23.54,23.54,23.54,22.54,x,27.54,,,,,,,,,,
Okos+ 1.67 ,24.89,25.89,28.89,30.89,30.89,30.89,32.58,x,34.89,,,,,,,,,,
Okos+ 1.74 ,39.95,40.95,43.95,45.95,45.95,45.95,x,x,49.95,,,,,,,,,,
Okos+ 1.50 BLUE420 ,10.33,11.33,14.33,16.33,16.33,16.33,x,x,20.33,,,,,,,,,,
Okos+ 1.60 BLUE420 ,20.62,21.62,24.62,26.62,26.62,26.62,x,x,30.62,,,,,,,,,,
Okos+ 1.67 BLUE420 ,29.44,30.44,33.44,35.44,35.44,35.44,x,x,39.44,,,,,,,,,,
Okos+ 1.50 Trans GEN S ,23.77,24.77,27.77,29.77,29.77,29.77,x,x,33.77,,,,,,,,,,
"Okos+ 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",23.77,24.77,27.77,29.77,29.77,29.77,x,x,33.77,,,,,,,,,,
Okos+ 1.53 Trans GEN S ,48.20,49.20,52.20,54.20,54.20,x,x,x,58.20,,,,,,,,,,
Okos+ 1.60 Trans GEN S ,41.48,42.48,45.48,47.48,47.48,47.48,x,x,51.48,,,,,,,,,,
"Okos+ 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",41.48,42.48,45.48,47.48,47.48,47.48,x,x,51.48,,,,,,,,,,
Okos+ 1.67 Trans GEN S ,48.45,49.45,52.45,54.45,54.45,54.45,x,x,58.45,,,,,,,,,,
"Okos+ 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",48.45,49.45,52.45,54.45,54.45,54.45,x,x,58.45,,,,,,,,,,
Okos+ 1.74 Trans GEN S ,58.87,59.87,62.87,64.87,64.87,64.87,x,x,68.87,,,,,,,,,,
Okos+ 1.50 Trans Drivewear ,51.55,52.55,55.55,57.55,57.55,57.55,x,x,61.55,,,,,,,,,,
Okos+ 1.67 Trans Drivewear ,59.65,60.65,63.65,65.65,65.65,65.65,x,x,69.65,,,,,,,,,,
Okos+ 1.50 Solis ,15.49,16.49,19.49,21.49,21.49,21.49,x,20.49,25.49,,,,,,,,,,
Okos+ 1.56 Solis,14.29,15.29,18.29,20.29,20.29,20.29,x,19.29,24.29,,,,,,,,,,
Okos+ 1.60 Solis ,24.52,25.52,28.52,30.52,30.52,30.52,x,29.52,34.52,,,,,,,,,,
Okos+ 1.67 Solis ,32.01,33.01,36.01,38.01,38.01,38.01,x,37.01,42.01,,,,,,,,,,
Okos+ 1.50 NeoChromes ,19.46,20.46,23.46,25.46,25.46,25.46,x,x,29.46,,,,,,,,,,
Okos+ 1.60 NeoChromes ,33.16,34.16,37.16,39.16,39.16,39.16,x,x,43.16,,,,,,,,,,
Okos+ 1.67 NeoChromes ,37.27,38.27,41.27,43.27,43.27,43.27,x,x,47.27,,,,,,,,,,
Okos+ 1.50 TransXtract ,26.40,27.40,30.40,32.40,32.40,32.40,x,x,36.40,,,,,,,,,,
Okos+ 1.60 TransXtract ,43.30,44.30,47.30,49.30,49.30,49.30,x,x,53.30,,,,,,,,,,
Okos+ 1.67 TransXtract ,58.62,59.62,62.62,64.62,64.62,64.62,x,x,68.62,,,,,,,,,,
